"","Age.at.which.Full.Time.Education.Ceased","Sex","CensusYear","Province.County.or.City","Highest.Level.of.Education.Completed","value"
"15542","19 years","Female","2011","Kerry","Technical/vocational",551
"15543","20 years","Female","2011","Kerry","Technical/vocational",435
"15544","21 years","Female","2011","Kerry","Technical/vocational",204
"15545","22 years","Female","2011","Kerry","Technical/vocational",80
"15546","23 years","Female","2011","Kerry","Technical/vocational",59
"15547","24 years","Female","2011","Kerry","Technical/vocational",39
"15548","25 years and over","Female","2011","Kerry","Technical/vocational",168
"15549","Not stated","Female","2011","Kerry","Technical/vocational",1176
"15550","Total whose full-time education has not ceased","Female","2011","Kerry","Technical/vocational",NA
"15551","Full-time education not ceased - Total at school, university, etc.","Female","2011","Kerry","Technical/vocational",NA
"15552","Full-time education not ceased - Other","Female","2011","Kerry","Technical/vocational",NA
"15553","Total persons","Both sexes","2011","Limerick","Technical/vocational",10659
"15554","Total whose full-time education has ceased","Both sexes","2011","Limerick","Technical/vocational",10659
"15555","Under 15 years","Both sexes","2011","Limerick","Technical/vocational",138
"15556","15 years","Both sexes","2011","Limerick","Technical/vocational",288
"15557","16 years","Both sexes","2011","Limerick","Technical/vocational",925
"15558","17 years","Both sexes","2011","Limerick","Technical/vocational",1061
"15559","18 years","Both sexes","2011","Limerick","Technical/vocational",1918
"15560","19 years","Both sexes","2011","Limerick","Technical/vocational",1276
"15561","20 years","Both sexes","2011","Limerick","Technical/vocational",962
"15562","21 years","Both sexes","2011","Limerick","Technical/vocational",485
"15563","22 years","Both sexes","2011","Limerick","Technical/vocational",271
"15564","23 years","Both sexes","2011","Limerick","Technical/vocational",139
"15565","24 years","Both sexes","2011","Limerick","Technical/vocational",76
"15566","25 years and over","Both sexes","2011","Limerick","Technical/vocational",353
"15567","Not stated","Both sexes","2011","Limerick","Technical/vocational",2767
"15568","Total whose full-time education has not ceased","Both sexes","2011","Limerick","Technical/vocational",NA
"15569","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Limerick","Technical/vocational",NA
"15570","Full-time education not ceased - Other","Both sexes","2011","Limerick","Technical/vocational",NA
"15571","Total persons","Male","2011","Limerick","Technical/vocational",5071
"15572","Total whose full-time education has ceased","Male","2011","Limerick","Technical/vocational",5071
"15573","Under 15 years","Male","2011","Limerick","Technical/vocational",78
"15574","15 years","Male","2011","Limerick","Technical/vocational",161
"15575","16 years","Male","2011","Limerick","Technical/vocational",563
"15576","17 years","Male","2011","Limerick","Technical/vocational",508
"15577","18 years","Male","2011","Limerick","Technical/vocational",816
"15578","19 years","Male","2011","Limerick","Technical/vocational",481
"15579","20 years","Male","2011","Limerick","Technical/vocational",421
"15580","21 years","Male","2011","Limerick","Technical/vocational",265
"15581","22 years","Male","2011","Limerick","Technical/vocational",142
"15582","23 years","Male","2011","Limerick","Technical/vocational",64
"15583","24 years","Male","2011","Limerick","Technical/vocational",40
"15584","25 years and over","Male","2011","Limerick","Technical/vocational",133
"15585","Not stated","Male","2011","Limerick","Technical/vocational",1399
"15586","Total whose full-time education has not ceased","Male","2011","Limerick","Technical/vocational",NA
"15587","Full-time education not ceased - Total at school, university, etc.","Male","2011","Limerick","Technical/vocational",NA
"15588","Full-time education not ceased - Other","Male","2011","Limerick","Technical/vocational",NA
"15589","Total persons","Female","2011","Limerick","Technical/vocational",5588
"15590","Total whose full-time education has ceased","Female","2011","Limerick","Technical/vocational",5588
"15591","Under 15 years","Female","2011","Limerick","Technical/vocational",60
"15592","15 years","Female","2011","Limerick","Technical/vocational",127
"15593","16 years","Female","2011","Limerick","Technical/vocational",362
"15594","17 years","Female","2011","Limerick","Technical/vocational",553
"15595","18 years","Female","2011","Limerick","Technical/vocational",1102
"15596","19 years","Female","2011","Limerick","Technical/vocational",795
"15597","20 years","Female","2011","Limerick","Technical/vocational",541
"15598","21 years","Female","2011","Limerick","Technical/vocational",220
"15599","22 years","Female","2011","Limerick","Technical/vocational",129
"15600","23 years","Female","2011","Limerick","Technical/vocational",75
"15601","24 years","Female","2011","Limerick","Technical/vocational",36
"15602","25 years and over","Female","2011","Limerick","Technical/vocational",220
"15603","Not stated","Female","2011","Limerick","Technical/vocational",1368
"15604","Total whose full-time education has not ceased","Female","2011","Limerick","Technical/vocational",NA
"15605","Full-time education not ceased - Total at school, university, etc.","Female","2011","Limerick","Technical/vocational",NA
"15606","Full-time education not ceased - Other","Female","2011","Limerick","Technical/vocational",NA
"15607","Total persons","Both sexes","2011","Limerick City","Technical/vocational",3105
"15608","Total whose full-time education has ceased","Both sexes","2011","Limerick City","Technical/vocational",3105
"15609","Under 15 years","Both sexes","2011","Limerick City","Technical/vocational",51
"15610","15 years","Both sexes","2011","Limerick City","Technical/vocational",102
"15611","16 years","Both sexes","2011","Limerick City","Technical/vocational",288
"15612","17 years","Both sexes","2011","Limerick City","Technical/vocational",291
"15613","18 years","Both sexes","2011","Limerick City","Technical/vocational",524
"15614","19 years","Both sexes","2011","Limerick City","Technical/vocational",368
"15615","20 years","Both sexes","2011","Limerick City","Technical/vocational",322
"15616","21 years","Both sexes","2011","Limerick City","Technical/vocational",185
"15617","22 years","Both sexes","2011","Limerick City","Technical/vocational",89
"15618","23 years","Both sexes","2011","Limerick City","Technical/vocational",47
"15619","24 years","Both sexes","2011","Limerick City","Technical/vocational",19
"15620","25 years and over","Both sexes","2011","Limerick City","Technical/vocational",120
"15621","Not stated","Both sexes","2011","Limerick City","Technical/vocational",699
"15622","Total whose full-time education has not ceased","Both sexes","2011","Limerick City","Technical/vocational",NA
"15623","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Limerick City","Technical/vocational",NA
"15624","Full-time education not ceased - Other","Both sexes","2011","Limerick City","Technical/vocational",NA
"15625","Total persons","Male","2011","Limerick City","Technical/vocational",1463
"15626","Total whose full-time education has ceased","Male","2011","Limerick City","Technical/vocational",1463
"15627","Under 15 years","Male","2011","Limerick City","Technical/vocational",26
"15628","15 years","Male","2011","Limerick City","Technical/vocational",56
"15629","16 years","Male","2011","Limerick City","Technical/vocational",169
"15630","17 years","Male","2011","Limerick City","Technical/vocational",115
"15631","18 years","Male","2011","Limerick City","Technical/vocational",218
"15632","19 years","Male","2011","Limerick City","Technical/vocational",132
"15633","20 years","Male","2011","Limerick City","Technical/vocational",160
"15634","21 years","Male","2011","Limerick City","Technical/vocational",96
"15635","22 years","Male","2011","Limerick City","Technical/vocational",46
"15636","23 years","Male","2011","Limerick City","Technical/vocational",22
"15637","24 years","Male","2011","Limerick City","Technical/vocational",11
"15638","25 years and over","Male","2011","Limerick City","Technical/vocational",46
"15639","Not stated","Male","2011","Limerick City","Technical/vocational",366
"15640","Total whose full-time education has not ceased","Male","2011","Limerick City","Technical/vocational",NA
"15641","Full-time education not ceased - Total at school, university, etc.","Male","2011","Limerick City","Technical/vocational",NA
"15642","Full-time education not ceased - Other","Male","2011","Limerick City","Technical/vocational",NA
"15643","Total persons","Female","2011","Limerick City","Technical/vocational",1642
"15644","Total whose full-time education has ceased","Female","2011","Limerick City","Technical/vocational",1642
"15645","Under 15 years","Female","2011","Limerick City","Technical/vocational",25
"15646","15 years","Female","2011","Limerick City","Technical/vocational",46
"15647","16 years","Female","2011","Limerick City","Technical/vocational",119
"15648","17 years","Female","2011","Limerick City","Technical/vocational",176
"15649","18 years","Female","2011","Limerick City","Technical/vocational",306
"15650","19 years","Female","2011","Limerick City","Technical/vocational",236
"15651","20 years","Female","2011","Limerick City","Technical/vocational",162
"15652","21 years","Female","2011","Limerick City","Technical/vocational",89
"15653","22 years","Female","2011","Limerick City","Technical/vocational",43
"15654","23 years","Female","2011","Limerick City","Technical/vocational",25
"15655","24 years","Female","2011","Limerick City","Technical/vocational",8
"15656","25 years and over","Female","2011","Limerick City","Technical/vocational",74
"15657","Not stated","Female","2011","Limerick City","Technical/vocational",333
"15658","Total whose full-time education has not ceased","Female","2011","Limerick City","Technical/vocational",NA
"15659","Full-time education not ceased - Total at school, university, etc.","Female","2011","Limerick City","Technical/vocational",NA
"15660","Full-time education not ceased - Other","Female","2011","Limerick City","Technical/vocational",NA
"15661","Total persons","Both sexes","2011","Limerick County","Technical/vocational",7554
"15662","Total whose full-time education has ceased","Both sexes","2011","Limerick County","Technical/vocational",7554
"15663","Under 15 years","Both sexes","2011","Limerick County","Technical/vocational",87
"15664","15 years","Both sexes","2011","Limerick County","Technical/vocational",186
"15665","16 years","Both sexes","2011","Limerick County","Technical/vocational",637
"15666","17 years","Both sexes","2011","Limerick County","Technical/vocational",770
"15667","18 years","Both sexes","2011","Limerick County","Technical/vocational",1394
"15668","19 years","Both sexes","2011","Limerick County","Technical/vocational",908
"15669","20 years","Both sexes","2011","Limerick County","Technical/vocational",640
"15670","21 years","Both sexes","2011","Limerick County","Technical/vocational",300
"15671","22 years","Both sexes","2011","Limerick County","Technical/vocational",182
"15672","23 years","Both sexes","2011","Limerick County","Technical/vocational",92
"15673","24 years","Both sexes","2011","Limerick County","Technical/vocational",57
"15674","25 years and over","Both sexes","2011","Limerick County","Technical/vocational",233
"15675","Not stated","Both sexes","2011","Limerick County","Technical/vocational",2068
"15676","Total whose full-time education has not ceased","Both sexes","2011","Limerick County","Technical/vocational",NA
"15677","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Limerick County","Technical/vocational",NA
"15678","Full-time education not ceased - Other","Both sexes","2011","Limerick County","Technical/vocational",NA
"15679","Total persons","Male","2011","Limerick County","Technical/vocational",3608
"15680","Total whose full-time education has ceased","Male","2011","Limerick County","Technical/vocational",3608
"15681","Under 15 years","Male","2011","Limerick County","Technical/vocational",52
"15682","15 years","Male","2011","Limerick County","Technical/vocational",105
"15683","16 years","Male","2011","Limerick County","Technical/vocational",394
"15684","17 years","Male","2011","Limerick County","Technical/vocational",393
"15685","18 years","Male","2011","Limerick County","Technical/vocational",598
"15686","19 years","Male","2011","Limerick County","Technical/vocational",349
"15687","20 years","Male","2011","Limerick County","Technical/vocational",261
"15688","21 years","Male","2011","Limerick County","Technical/vocational",169
"15689","22 years","Male","2011","Limerick County","Technical/vocational",96
"15690","23 years","Male","2011","Limerick County","Technical/vocational",42
"15691","24 years","Male","2011","Limerick County","Technical/vocational",29
"15692","25 years and over","Male","2011","Limerick County","Technical/vocational",87
"15693","Not stated","Male","2011","Limerick County","Technical/vocational",1033
"15694","Total whose full-time education has not ceased","Male","2011","Limerick County","Technical/vocational",NA
"15695","Full-time education not ceased - Total at school, university, etc.","Male","2011","Limerick County","Technical/vocational",NA
"15696","Full-time education not ceased - Other","Male","2011","Limerick County","Technical/vocational",NA
"15697","Total persons","Female","2011","Limerick County","Technical/vocational",3946
"15698","Total whose full-time education has ceased","Female","2011","Limerick County","Technical/vocational",3946
"15699","Under 15 years","Female","2011","Limerick County","Technical/vocational",35
"15700","15 years","Female","2011","Limerick County","Technical/vocational",81
"15701","16 years","Female","2011","Limerick County","Technical/vocational",243
"15702","17 years","Female","2011","Limerick County","Technical/vocational",377
"15703","18 years","Female","2011","Limerick County","Technical/vocational",796
"15704","19 years","Female","2011","Limerick County","Technical/vocational",559
"15705","20 years","Female","2011","Limerick County","Technical/vocational",379
"15706","21 years","Female","2011","Limerick County","Technical/vocational",131
"15707","22 years","Female","2011","Limerick County","Technical/vocational",86
"15708","23 years","Female","2011","Limerick County","Technical/vocational",50
"15709","24 years","Female","2011","Limerick County","Technical/vocational",28
"15710","25 years and over","Female","2011","Limerick County","Technical/vocational",146
"15711","Not stated","Female","2011","Limerick County","Technical/vocational",1035
"15712","Total whose full-time education has not ceased","Female","2011","Limerick County","Technical/vocational",NA
"15713","Full-time education not ceased - Total at school, university, etc.","Female","2011","Limerick County","Technical/vocational",NA
"15714","Full-time education not ceased - Other","Female","2011","Limerick County","Technical/vocational",NA
"15715","Total persons","Both sexes","2011","North Tipperary","Technical/vocational",4365
"15716","Total whose full-time education has ceased","Both sexes","2011","North Tipperary","Technical/vocational",4365
"15717","Under 15 years","Both sexes","2011","North Tipperary","Technical/vocational",62
"15718","15 years","Both sexes","2011","North Tipperary","Technical/vocational",117
"15719","16 years","Both sexes","2011","North Tipperary","Technical/vocational",350
"15720","17 years","Both sexes","2011","North Tipperary","Technical/vocational",471
"15721","18 years","Both sexes","2011","North Tipperary","Technical/vocational",904
"15722","19 years","Both sexes","2011","North Tipperary","Technical/vocational",512
"15723","20 years","Both sexes","2011","North Tipperary","Technical/vocational",350
"15724","21 years","Both sexes","2011","North Tipperary","Technical/vocational",190
"15725","22 years","Both sexes","2011","North Tipperary","Technical/vocational",89
"15726","23 years","Both sexes","2011","North Tipperary","Technical/vocational",34
"15727","24 years","Both sexes","2011","North Tipperary","Technical/vocational",26
"15728","25 years and over","Both sexes","2011","North Tipperary","Technical/vocational",178
"15729","Not stated","Both sexes","2011","North Tipperary","Technical/vocational",1082
"15730","Total whose full-time education has not ceased","Both sexes","2011","North Tipperary","Technical/vocational",NA
"15731","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","North Tipperary","Technical/vocational",NA
"15732","Full-time education not ceased - Other","Both sexes","2011","North Tipperary","Technical/vocational",NA
"15733","Total persons","Male","2011","North Tipperary","Technical/vocational",2099
"15734","Total whose full-time education has ceased","Male","2011","North Tipperary","Technical/vocational",2099
"15735","Under 15 years","Male","2011","North Tipperary","Technical/vocational",38
"15736","15 years","Male","2011","North Tipperary","Technical/vocational",74
"15737","16 years","Male","2011","North Tipperary","Technical/vocational",220
"15738","17 years","Male","2011","North Tipperary","Technical/vocational",250
"15739","18 years","Male","2011","North Tipperary","Technical/vocational",399
"15740","19 years","Male","2011","North Tipperary","Technical/vocational",201
"15741","20 years","Male","2011","North Tipperary","Technical/vocational",162
"15742","21 years","Male","2011","North Tipperary","Technical/vocational",104
"15743","22 years","Male","2011","North Tipperary","Technical/vocational",45
"15744","23 years","Male","2011","North Tipperary","Technical/vocational",13
"15745","24 years","Male","2011","North Tipperary","Technical/vocational",12
"15746","25 years and over","Male","2011","North Tipperary","Technical/vocational",55
"15747","Not stated","Male","2011","North Tipperary","Technical/vocational",526
"15748","Total whose full-time education has not ceased","Male","2011","North Tipperary","Technical/vocational",NA
"15749","Full-time education not ceased - Total at school, university, etc.","Male","2011","North Tipperary","Technical/vocational",NA
"15750","Full-time education not ceased - Other","Male","2011","North Tipperary","Technical/vocational",NA
"15751","Total persons","Female","2011","North Tipperary","Technical/vocational",2266
"15752","Total whose full-time education has ceased","Female","2011","North Tipperary","Technical/vocational",2266
"15753","Under 15 years","Female","2011","North Tipperary","Technical/vocational",24
"15754","15 years","Female","2011","North Tipperary","Technical/vocational",43
"15755","16 years","Female","2011","North Tipperary","Technical/vocational",130
"15756","17 years","Female","2011","North Tipperary","Technical/vocational",221
"15757","18 years","Female","2011","North Tipperary","Technical/vocational",505
"15758","19 years","Female","2011","North Tipperary","Technical/vocational",311
"15759","20 years","Female","2011","North Tipperary","Technical/vocational",188
"15760","21 years","Female","2011","North Tipperary","Technical/vocational",86
"15761","22 years","Female","2011","North Tipperary","Technical/vocational",44
"15762","23 years","Female","2011","North Tipperary","Technical/vocational",21
"15763","24 years","Female","2011","North Tipperary","Technical/vocational",14
"15764","25 years and over","Female","2011","North Tipperary","Technical/vocational",123
"15765","Not stated","Female","2011","North Tipperary","Technical/vocational",556
"15766","Total whose full-time education has not ceased","Female","2011","North Tipperary","Technical/vocational",NA
"15767","Full-time education not ceased - Total at school, university, etc.","Female","2011","North Tipperary","Technical/vocational",NA
"15768","Full-time education not ceased - Other","Female","2011","North Tipperary","Technical/vocational",NA
"15769","Total persons","Both sexes","2011","South Tipperary","Technical/vocational",5436
"15770","Total whose full-time education has ceased","Both sexes","2011","South Tipperary","Technical/vocational",5436
"15771","Under 15 years","Both sexes","2011","South Tipperary","Technical/vocational",59
"15772","15 years","Both sexes","2011","South Tipperary","Technical/vocational",157
"15773","16 years","Both sexes","2011","South Tipperary","Technical/vocational",458
"15774","17 years","Both sexes","2011","South Tipperary","Technical/vocational",573
"15775","18 years","Both sexes","2011","South Tipperary","Technical/vocational",1069
"15776","19 years","Both sexes","2011","South Tipperary","Technical/vocational",645
"15777","20 years","Both sexes","2011","South Tipperary","Technical/vocational",405
"15778","21 years","Both sexes","2011","South Tipperary","Technical/vocational",215
"15779","22 years","Both sexes","2011","South Tipperary","Technical/vocational",112
"15780","23 years","Both sexes","2011","South Tipperary","Technical/vocational",63
"15781","24 years","Both sexes","2011","South Tipperary","Technical/vocational",41
"15782","25 years and over","Both sexes","2011","South Tipperary","Technical/vocational",156
"15783","Not stated","Both sexes","2011","South Tipperary","Technical/vocational",1483
"15784","Total whose full-time education has not ceased","Both sexes","2011","South Tipperary","Technical/vocational",NA
"15785","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","South Tipperary","Technical/vocational",NA
"15786","Full-time education not ceased - Other","Both sexes","2011","South Tipperary","Technical/vocational",NA
"15787","Total persons","Male","2011","South Tipperary","Technical/vocational",2446
"15788","Total whose full-time education has ceased","Male","2011","South Tipperary","Technical/vocational",2446
"15789","Under 15 years","Male","2011","South Tipperary","Technical/vocational",35
"15790","15 years","Male","2011","South Tipperary","Technical/vocational",102
"15791","16 years","Male","2011","South Tipperary","Technical/vocational",265
"15792","17 years","Male","2011","South Tipperary","Technical/vocational",244
"15793","18 years","Male","2011","South Tipperary","Technical/vocational",424
"15794","19 years","Male","2011","South Tipperary","Technical/vocational",217
"15795","20 years","Male","2011","South Tipperary","Technical/vocational",197
"15796","21 years","Male","2011","South Tipperary","Technical/vocational",109
"15797","22 years","Male","2011","South Tipperary","Technical/vocational",65
"15798","23 years","Male","2011","South Tipperary","Technical/vocational",27
"15799","24 years","Male","2011","South Tipperary","Technical/vocational",24
"15800","25 years and over","Male","2011","South Tipperary","Technical/vocational",44
"15801","Not stated","Male","2011","South Tipperary","Technical/vocational",693
"15802","Total whose full-time education has not ceased","Male","2011","South Tipperary","Technical/vocational",NA
"15803","Full-time education not ceased - Total at school, university, etc.","Male","2011","South Tipperary","Technical/vocational",NA
"15804","Full-time education not ceased - Other","Male","2011","South Tipperary","Technical/vocational",NA
"15805","Total persons","Female","2011","South Tipperary","Technical/vocational",2990
"15806","Total whose full-time education has ceased","Female","2011","South Tipperary","Technical/vocational",2990
"15807","Under 15 years","Female","2011","South Tipperary","Technical/vocational",24
"15808","15 years","Female","2011","South Tipperary","Technical/vocational",55
"15809","16 years","Female","2011","South Tipperary","Technical/vocational",193
"15810","17 years","Female","2011","South Tipperary","Technical/vocational",329
"15811","18 years","Female","2011","South Tipperary","Technical/vocational",645
"15812","19 years","Female","2011","South Tipperary","Technical/vocational",428
"15813","20 years","Female","2011","South Tipperary","Technical/vocational",208
"15814","21 years","Female","2011","South Tipperary","Technical/vocational",106
"15815","22 years","Female","2011","South Tipperary","Technical/vocational",47
"15816","23 years","Female","2011","South Tipperary","Technical/vocational",36
"15817","24 years","Female","2011","South Tipperary","Technical/vocational",17
"15818","25 years and over","Female","2011","South Tipperary","Technical/vocational",112
"15819","Not stated","Female","2011","South Tipperary","Technical/vocational",790
"15820","Total whose full-time education has not ceased","Female","2011","South Tipperary","Technical/vocational",NA
"15821","Full-time education not ceased - Total at school, university, etc.","Female","2011","South Tipperary","Technical/vocational",NA
"15822","Full-time education not ceased - Other","Female","2011","South Tipperary","Technical/vocational",NA
"15823","Total persons","Both sexes","2011","Waterford","Technical/vocational",6981
"15824","Total whose full-time education has ceased","Both sexes","2011","Waterford","Technical/vocational",6981
"15825","Under 15 years","Both sexes","2011","Waterford","Technical/vocational",86
"15826","15 years","Both sexes","2011","Waterford","Technical/vocational",211
"15827","16 years","Both sexes","2011","Waterford","Technical/vocational",555
"15828","17 years","Both sexes","2011","Waterford","Technical/vocational",721
"15829","18 years","Both sexes","2011","Waterford","Technical/vocational",1267
"15830","19 years","Both sexes","2011","Waterford","Technical/vocational",797
"15831","20 years","Both sexes","2011","Waterford","Technical/vocational",578
"15832","21 years","Both sexes","2011","Waterford","Technical/vocational",299
"15833","22 years","Both sexes","2011","Waterford","Technical/vocational",142
"15834","23 years","Both sexes","2011","Waterford","Technical/vocational",77
"15835","24 years","Both sexes","2011","Waterford","Technical/vocational",56
"15836","25 years and over","Both sexes","2011","Waterford","Technical/vocational",334
"15837","Not stated","Both sexes","2011","Waterford","Technical/vocational",1858
"15838","Total whose full-time education has not ceased","Both sexes","2011","Waterford","Technical/vocational",NA
"15839","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Waterford","Technical/vocational",NA
"15840","Full-time education not ceased - Other","Both sexes","2011","Waterford","Technical/vocational",NA
"15841","Total persons","Male","2011","Waterford","Technical/vocational",3075
"15842","Total whose full-time education has ceased","Male","2011","Waterford","Technical/vocational",3075
"15843","Under 15 years","Male","2011","Waterford","Technical/vocational",51
"15844","15 years","Male","2011","Waterford","Technical/vocational",127
"15845","16 years","Male","2011","Waterford","Technical/vocational",317
"15846","17 years","Male","2011","Waterford","Technical/vocational",316
"15847","18 years","Male","2011","Waterford","Technical/vocational",513
"15848","19 years","Male","2011","Waterford","Technical/vocational",269
"15849","20 years","Male","2011","Waterford","Technical/vocational",234
"15850","21 years","Male","2011","Waterford","Technical/vocational",147
"15851","22 years","Male","2011","Waterford","Technical/vocational",83
"15852","23 years","Male","2011","Waterford","Technical/vocational",32
"15853","24 years","Male","2011","Waterford","Technical/vocational",24
"15854","25 years and over","Male","2011","Waterford","Technical/vocational",127
"15855","Not stated","Male","2011","Waterford","Technical/vocational",835
"15856","Total whose full-time education has not ceased","Male","2011","Waterford","Technical/vocational",NA
"15857","Full-time education not ceased - Total at school, university, etc.","Male","2011","Waterford","Technical/vocational",NA
"15858","Full-time education not ceased - Other","Male","2011","Waterford","Technical/vocational",NA
"15859","Total persons","Female","2011","Waterford","Technical/vocational",3906
"15860","Total whose full-time education has ceased","Female","2011","Waterford","Technical/vocational",3906
"15861","Under 15 years","Female","2011","Waterford","Technical/vocational",35
"15862","15 years","Female","2011","Waterford","Technical/vocational",84
"15863","16 years","Female","2011","Waterford","Technical/vocational",238
"15864","17 years","Female","2011","Waterford","Technical/vocational",405
"15865","18 years","Female","2011","Waterford","Technical/vocational",754
"15866","19 years","Female","2011","Waterford","Technical/vocational",528
"15867","20 years","Female","2011","Waterford","Technical/vocational",344
"15868","21 years","Female","2011","Waterford","Technical/vocational",152
"15869","22 years","Female","2011","Waterford","Technical/vocational",59
"15870","23 years","Female","2011","Waterford","Technical/vocational",45
"15871","24 years","Female","2011","Waterford","Technical/vocational",32
"15872","25 years and over","Female","2011","Waterford","Technical/vocational",207
"15873","Not stated","Female","2011","Waterford","Technical/vocational",1023
"15874","Total whose full-time education has not ceased","Female","2011","Waterford","Technical/vocational",NA
"15875","Full-time education not ceased - Total at school, university, etc.","Female","2011","Waterford","Technical/vocational",NA
"15876","Full-time education not ceased - Other","Female","2011","Waterford","Technical/vocational",NA
"15877","Total persons","Both sexes","2011","Waterford City","Technical/vocational",2710
"15878","Total whose full-time education has ceased","Both sexes","2011","Waterford City","Technical/vocational",2710
"15879","Under 15 years","Both sexes","2011","Waterford City","Technical/vocational",38
"15880","15 years","Both sexes","2011","Waterford City","Technical/vocational",93
"15881","16 years","Both sexes","2011","Waterford City","Technical/vocational",213
"15882","17 years","Both sexes","2011","Waterford City","Technical/vocational",270
"15883","18 years","Both sexes","2011","Waterford City","Technical/vocational",495
"15884","19 years","Both sexes","2011","Waterford City","Technical/vocational",293
"15885","20 years","Both sexes","2011","Waterford City","Technical/vocational",191
"15886","21 years","Both sexes","2011","Waterford City","Technical/vocational",124
"15887","22 years","Both sexes","2011","Waterford City","Technical/vocational",54
"15888","23 years","Both sexes","2011","Waterford City","Technical/vocational",28
"15889","24 years","Both sexes","2011","Waterford City","Technical/vocational",22
"15890","25 years and over","Both sexes","2011","Waterford City","Technical/vocational",146
"15891","Not stated","Both sexes","2011","Waterford City","Technical/vocational",743
"15892","Total whose full-time education has not ceased","Both sexes","2011","Waterford City","Technical/vocational",NA
"15893","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Waterford City","Technical/vocational",NA
"15894","Full-time education not ceased - Other","Both sexes","2011","Waterford City","Technical/vocational",NA
"15895","Total persons","Male","2011","Waterford City","Technical/vocational",1269
"15896","Total whose full-time education has ceased","Male","2011","Waterford City","Technical/vocational",1269
"15897","Under 15 years","Male","2011","Waterford City","Technical/vocational",24
"15898","15 years","Male","2011","Waterford City","Technical/vocational",55
"15899","16 years","Male","2011","Waterford City","Technical/vocational",117
"15900","17 years","Male","2011","Waterford City","Technical/vocational",130
"15901","18 years","Male","2011","Waterford City","Technical/vocational",211
"15902","19 years","Male","2011","Waterford City","Technical/vocational",101
"15903","20 years","Male","2011","Waterford City","Technical/vocational",76
"15904","21 years","Male","2011","Waterford City","Technical/vocational",77
"15905","22 years","Male","2011","Waterford City","Technical/vocational",31
"15906","23 years","Male","2011","Waterford City","Technical/vocational",11
"15907","24 years","Male","2011","Waterford City","Technical/vocational",9
"15908","25 years and over","Male","2011","Waterford City","Technical/vocational",67
"15909","Not stated","Male","2011","Waterford City","Technical/vocational",360
"15910","Total whose full-time education has not ceased","Male","2011","Waterford City","Technical/vocational",NA
"15911","Full-time education not ceased - Total at school, university, etc.","Male","2011","Waterford City","Technical/vocational",NA
"15912","Full-time education not ceased - Other","Male","2011","Waterford City","Technical/vocational",NA
"15913","Total persons","Female","2011","Waterford City","Technical/vocational",1441
"15914","Total whose full-time education has ceased","Female","2011","Waterford City","Technical/vocational",1441
"15915","Under 15 years","Female","2011","Waterford City","Technical/vocational",14
"15916","15 years","Female","2011","Waterford City","Technical/vocational",38
"15917","16 years","Female","2011","Waterford City","Technical/vocational",96
"15918","17 years","Female","2011","Waterford City","Technical/vocational",140
"15919","18 years","Female","2011","Waterford City","Technical/vocational",284
"15920","19 years","Female","2011","Waterford City","Technical/vocational",192
"15921","20 years","Female","2011","Waterford City","Technical/vocational",115
"15922","21 years","Female","2011","Waterford City","Technical/vocational",47
"15923","22 years","Female","2011","Waterford City","Technical/vocational",23
"15924","23 years","Female","2011","Waterford City","Technical/vocational",17
"15925","24 years","Female","2011","Waterford City","Technical/vocational",13
"15926","25 years and over","Female","2011","Waterford City","Technical/vocational",79
"15927","Not stated","Female","2011","Waterford City","Technical/vocational",383
"15928","Total whose full-time education has not ceased","Female","2011","Waterford City","Technical/vocational",NA
"15929","Full-time education not ceased - Total at school, university, etc.","Female","2011","Waterford City","Technical/vocational",NA
"15930","Full-time education not ceased - Other","Female","2011","Waterford City","Technical/vocational",NA
"15931","Total persons","Both sexes","2011","Waterford County","Technical/vocational",4271
"15932","Total whose full-time education has ceased","Both sexes","2011","Waterford County","Technical/vocational",4271
"15933","Under 15 years","Both sexes","2011","Waterford County","Technical/vocational",48
"15934","15 years","Both sexes","2011","Waterford County","Technical/vocational",118
"15935","16 years","Both sexes","2011","Waterford County","Technical/vocational",342
"15936","17 years","Both sexes","2011","Waterford County","Technical/vocational",451
"15937","18 years","Both sexes","2011","Waterford County","Technical/vocational",772
"15938","19 years","Both sexes","2011","Waterford County","Technical/vocational",504
"15939","20 years","Both sexes","2011","Waterford County","Technical/vocational",387
"15940","21 years","Both sexes","2011","Waterford County","Technical/vocational",175
"15941","22 years","Both sexes","2011","Waterford County","Technical/vocational",88
"15942","23 years","Both sexes","2011","Waterford County","Technical/vocational",49
"15943","24 years","Both sexes","2011","Waterford County","Technical/vocational",34
"15944","25 years and over","Both sexes","2011","Waterford County","Technical/vocational",188
"15945","Not stated","Both sexes","2011","Waterford County","Technical/vocational",1115
"15946","Total whose full-time education has not ceased","Both sexes","2011","Waterford County","Technical/vocational",NA
"15947","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Waterford County","Technical/vocational",NA
